Origin,Destination,Rate,Origin_Part_1,Origin_Part_2,Origin_Part_3,Destination_Part_1,Destination_Part_2,Destination_Part_3
"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",604.38,Carpenter,Laramie County,WY,P66 Ponca City,Kay County,OK
"Carpenter Located in Laramie County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",604.38,Carpenter,Laramie County,WY,Various Cushing Destinatio ns,Payne County,OK
"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,Platteville,Weld County,CO,Pawnee,Weld County,CO
"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",117.60,Platteville,Weld County,CO,Buckingham,Weld County,CO
"Platteville Located in Weld County, CO","Sterling Located in Logan County, CO",13.26 [F1],Platteville,Weld County,CO,Sterling,Logan County,CO
"Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,Platteville,Weld County,CO,Augusta,Butler County,KS
"Platteville Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,Platteville,Weld County,CO,McPherso n,McPherso n County,KS
"Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,Platteville,Weld County,CO,P66 Ponca City,Kay County,OK
"Platteville Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Platteville,Weld County,CO,Various Cushing Destinatio ns,Payne County,OK
"Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,Buckingham,Weld County,CO,Pawnee,Weld County,CO
"Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,Buckingham,Weld County,CO,Buckingham,Weld County,CO
"Buckingham Located in Weld County, CO","Sterling Located in Logan County, CO",59.69,Buckingham,Weld County,CO,Sterling,Logan County,CO
"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,Buckingham,Weld County,CO,Augusta,Butler County,KS
"Buckingham Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,Buckingham,Weld County,CO,McPherso n,McPherso n County,KS
"Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,Buckingham,Weld County,CO,P66 Ponca City,Kay County,OK
"Buckingham Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Buckingham,Weld County,CO,Various Cushing Destinatio ns,Payne County,OK
"Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,Pawnee,Weld County,CO,Pawnee,Weld County,CO
"Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,Pawnee,Weld County,CO,Buckingham,Weld County,CO
"Pawnee Located in Weld County, CO","Sterling Located in Logan County, CO",59.69,Pawnee,Weld County,CO,Sterling,Logan County,CO
"Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,Pawnee,Weld County,CO,Augusta,Butler County,KS
"Pawnee Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,Pawnee,Weld County,CO,McPherso n,McPherso n County,KS
"Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,Pawnee,Weld County,CO,P66 Ponca City,Kay County,OK
"Pawnee Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Pawnee,Weld County,CO,Various Cushing Destinatio ns,Payne County,OK
"Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",59.69,Hereford,Weld County,CO,Pawnee,Weld County,CO
"Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,Hereford,Weld County,CO,Buckingham,Weld County,CO
"Hereford Located in Weld County, CO","Sterling Located in Logan County, CO",112.75,Hereford,Weld County,CO,Sterling,Logan County,CO
"Hereford Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,Hereford,Weld County,CO,Augusta,Butler County,KS
"Hereford Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,Hereford,Weld County,CO,McPherso n,McPherso n County,KS
"Hereford Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,Hereford,Weld County,CO,P66 Ponca City,Kay County,OK
"Hereford Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,Hereford,Weld County,CO,Various Cushing Destinatio ns,Payne County,OK
