Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentive Rate,CONTRACT VOLUME INCENTIVE RATES,1,5000,11999,,,270.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,1,5000,11999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,1,12000,23999,,,260.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,1,12000,23999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,1,24000,,,,250.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,1,24000,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentive Rate,CONTRACT VOLUME INCENTIVE RATES,1,5000,11999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,1,5000,11999,,,260.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,1,12000,23999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,1,12000,23999,,,250.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,1,24000,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,1,24000,,,,240.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentive Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,5000,11999,,,255.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,5000,11999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,12000,23999,,,245.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,12000,23999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,24000,,,,192.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,24000,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentive Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,5000,11999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,5000,11999,,,245.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,12000,23999,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,12000,23999,,,235.00,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Incentiv e Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,24000,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, CO","Various Cushing Destinations located in Payne County, OK",,01-12-2025,,Effective,Secondary Origin Barrel Rate,CONTRACT VOLUME INCENTIVE RATES,4.25,24000,,,,180.00,,Crude
