Pipeline,EffectiveDate,PageNumber,RateType,Origin,Destination,Rate
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Pawnee Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Hereford Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Hereford Located in Weld County, CO","McPherson Located in McPherson County, KS2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Hereford Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Hereford Located in Weld County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Sterling Located in Logan County, CO","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Sterling Located in Logan County, CO","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Sterling Located in Logan County, CO","McPherson Located in McPherson County, KS2",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Sterling Located in Logan County, CO","Various Cushing Destinations Located in Payne County, OK3",282.71
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Natoma Located in Rooks County, KS","Pawnee Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Natoma Located in Rooks County, KS","Buckingham Located in Weld County, CO",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Natoma Located in Rooks County, KS","Augusta Located in Butler County, KS (El Dorado)2",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Natoma Located in Rooks County, KS","McPherson Located in McPherson County, KS2",N/A
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Natoma Located in Rooks County, KS","P66 Ponca City Located in Kay County, OK",166.03
"TALLGRASS PONY EXPRESS PIPELINE, LLC",01-12-2025,4,NON-CONTRACT LINE FILL RETURN RATES,"Natoma Located in Rooks County, KS","Various Cushing Destinations Located in Payne County, OK3",166.03
