Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey, Wyoming","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,251.15,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville, Colorado","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,251.15,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham, Colorado","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,251.15,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey, Wyoming","Augusta Located in Butler County, KS (El Dorado)",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,387.47,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey, Wyoming","Augusta Located in Butler County, KS (El Dorado)",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,262.29,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, Colorado","Augusta Located in Butler County, KS (El Dorado)",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,339.78,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Sterling, Colorado","Augusta Located in Butler County, KS (El Dorado)",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,214.60,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC",Buckingham Located in Weld,"Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,214.30,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC",Buckingham Located in Weld,"Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,244.01,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,214.30,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,244.01,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC",Pawnee Located in Weld,"Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,244.01,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC",Pawnee Located in Weld,"Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,n/a,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,244.01,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","County, CO","Various Cushing Destinations Located in Payne County, OK",,01-12-2025,,Effective,,CONTRACT VOLUME INCENTIVE RATES,,,,,,n/a,,Crude
