EffectiveDate,TariffRateType,ExpiryDate,RateTier,BPDMin,BPDMax,Origin,Destination,Rate,SourcePage
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Buckingham Located in Weld County, CO","Sterling Located in Logan County, CO",59.69,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Buckingham Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Buckingham Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","Sterling Located in Logan County, CO",59.69,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Pawnee Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",59.69,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","Sterling Located in Logan County, CO",112.75,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Hereford Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","Pawnee Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","Buckingham Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","Sterling Located in Logan County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","McPherso n Located in McPherso n County, KS2",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Sterling Located in Logan County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","Pawnee Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","Buckingham Located in Weld County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","Sterling Located in Logan County, CO",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","Augusta Located in Butler County, KS (El Dorado)2",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","McPherso n Located in McPherso n County, KS2",N/A,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","P66 Ponca City Located in Kay County, OK",172.96,3
"December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,,,0,2,"Natoma Located in Rooks County, KS","Various Cushing Destinatio ns Located in Payne County, OK3",172.96,3
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PXP Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Eighty Eight Oil Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey PRG Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinations Located in Payne County, OK3",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",282.71,4
"December 1, 2025",NON-CONTRACT LINE FILL RETURN RATES,,,0,2,"Guernsey HH Located in Platte County, WY","McPherson Located in McPherson County, KS2",282.71,4
