Pipeline,EffectiveDate,RateType,Origin,Destination,Rate,ExpiryDate,RateTier,BPDMin,BPDMax
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey PRG Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Sterling Located in Logan County, CO",19.90,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Sterling Located in Logan County, CO",19.90,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Guernsey HH Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Pawnee Located in Weld County, CO",99.49,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Buckingham Located in Weld County, CO",99.49,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Sterling Located in Logan County, CO",159.18,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",604.38,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","McPherso n Located in McPherso n County, KS2",604.38,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",604.38,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Carpenter Located in Laramie County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",604.38,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",117.60,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Sterling Located in Logan County, CO",13.26 [F1],,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Platteville Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Sterling Located in Logan County, CO",59.69,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Buckingham Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Sterling Located in Logan County, CO",59.69,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Pawnee Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",59.69,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Sterling Located in Logan County, CO",112.75,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Hereford Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Sterling Located in Logan County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Augusta Located in Butler County, KS (El Dorado)2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","McPherso n Located in McPherso n County, KS2",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","P66 Ponca City Located in Kay County, OK",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Sterling Located in Logan County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",630.43,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","Pawnee Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","Buckingham Located in Weld County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","Sterling Located in Logan County, CO",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","Augusta Located in Butler County, KS (El Dorado)2",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","McPherso n Located in McPherso n County, KS2",N/A,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","P66 Ponca City Located in Kay County, OK",172.96,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",NON-CONTRACT TRANSPORTATION RATES,"Natoma Located in Rooks County, KS","Various Cushing Destinatio ns Located in Payne County, OK3",172.96,,,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",TEMPORARY VOLUME INCENTIVE RATES,"McPherson Located in McPherson County, KS2",515.26,515.26,"[W]February 28, 2026November 30, 2025.",Rate Tier 1,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",TEMPORARY VOLUME INCENTIVE RATES,"McPherson Located in McPherson County, KS2",361.07,361.07,"[W]February 28, 2026November 30, 2025.",Rate Tier 1,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",TEMPORARY VOLUME INCENTIVE RATES,"P66 Ponca City Located in Kay County, OK",515.26,515.26,"[W]February 28, 2026November 30, 2025.",Rate Tier 1,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",TEMPORARY VOLUME INCENTIVE RATES,"P66 Ponca City Located in Kay County, OK",361.07,361.07,"[W]February 28, 2026November 30, 2025.",Rate Tier 1,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",TEMPORARY VOLUME INCENTIVE RATES,"Various Cushing Destinations Located in Payne County, OK3",515.26,518.32,"[W]February 28, 2026November 30, 2025.",Rate Tier 1,2,78
"TALLGRASS PONY EXPRESS PIPELINE, LLC","December 1, 2025",TEMPORARY VOLUME INCENTIVE RATES,"Various Cushing Destinations Located in Payne County, OK3",361.07,364.13,"[W]February 28, 2026November 30, 2025.",Rate Tier 1,2,78
