Pipeline Name,PointfOrigin,PointOfDestination,LiquidTariffNumber,Effective Date,End Date,TariffStatus,RateTier,RateType,TermYear,MinBPD,MaxBPD,AcreageDedicationMinAcres,AcreageDedicationMaxAcres,LiquidRateCentsPerBbl,SurchargeCentsPerBbl,LiquidFuelType
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Sinclair Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Sinclair Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey Sinclair Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,19.9,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Guernsey HH Located in Platte County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,99.49,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,99.49,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,159.18,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,604.38,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,604.38,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,604.38,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Carpenter Located in Laramie County, WY","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,604.38,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,117.6,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,13.26 [F1],,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Platteville Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,59.69,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Buckingham Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","Sterling Located in Logan County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,59.69,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","Augusta Located in Butler County, KS (El Dorado)2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","McPherso n Located in McPherso n County, KS2",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","P66 Ponca City Located in Kay County, OK",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Pawnee Located in Weld County, CO","Various Cushing Destinatio ns Located in Payne County, OK3",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,630.43,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Hereford Located in Weld County, CO","Pawnee Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,59.69,,Crude
"TALLGRASS PONY EXPRESS PIPELINE, LLC","Hereford Located in Weld County, CO","Buckingham Located in Weld County, CO",,01-12-2025,,Effective,,NON-CONTRACT TRANSPORTATION RATES,,,,,,N/A,,Crude
